3 2.500000 0.023837 0.21828182845904509080 
4 2.666667 0.031181 0.05161516179237842427 
5 2.708333 0.019396 0.00994849512571175753 
10 2.718282 0.000126 0.00000030288585285069 
20 2.718282 0.000111 0.00000000000000014398 
100 2.718282 0.020144 0.00000000000000014463 
200 2.718282 0.000184 0.00000000000000014463 
1000 2.718282 0.021511 0.00000000000000014463 
2000 2.718282 0.024617 0.00000000000000014463 
10000 2.718282 1.099048 0.00000000000000014463 
20000 2.718282 5.023807 0.00000000000000014463 
